Project ID,Project Name,Project Status,Request Name,Project Manager,Create Time,Expected Delivery Date,Translation Task,LQA Task,Translation Update,LQA Report Finalization
1,产品手册翻译项目,In Progress,产品手册翻译请求,Yizhuo Xiang,2025/03/08 19:40,2025/03/22,Completed,In Progress,Not Started,Not Started
2,营销材料本地化,Pending,营销材料翻译请求,Yizhuo Xiang,2025/03/08 19:40,2025/03/15,In Progress,In Progress,Not Started,Not Started
3,软件界面翻译,Completed,软件界面翻译请求,Yizhuo Xiang,2025/03/08 19:40,2025/03/01,Completed,Completed,Completed,Completed
46,test517 项目,Pending,test517,Yizhuo Xiang,2025/05/17 18:33,2025/05/30,Not Started,Not Started,Not Started,Not Started
13,9999 项目,Pending,9999,Yizhuo Xiang,2025/03/24 00:45,2025/03/31,Not Started,Not Started,Not Started,Not Started
42,313131 项目,Pending,313131,Yizhuo Xiang,2025/03/31 19:13,2025/03/31,Not Started,Not Started,Not Started,Not Started
47,test517_1 项目,Pending,test517_1,Yizhuo Xiang,2025/05/17 18:40,2025/05/30,Completed,Not Started,Not Started,Not Started
48,test517_2 项目,Pending,test517_2,Yizhuo Xiang,2025/05/17 18:48,2025/05/31,Not Started,Not Started,Not Started,Not Started
49,test517_3 项目,Pending,test517_3,Yizhuo Xiang,2025/05/17 18:59,2025/05/29,Not Started,Not Started,Not Started,Not Started
50,test517_4 项目,Pending,test517_4,Yizhuo Xiang,2025/05/17 19:05,2025/05/22,Not Started,Not Started,Not Started,Not Started
51,test517_5 项目,Pending,test517_5,Yizhuo Xiang,2025/05/17 19:16,2025/05/29,Not Started,Not Started,Not Started,Not Started
52,test517_6 项目,Pending,test517_6,Yizhuo Xiang,2025/05/17 19:22,2025/05/29,Not Started,Not Started,Not Started,Not Started
53,test517_7 项目,Pending,test517_7,Yizhuo Xiang,2025/05/17 19:31,2025/05/31,Not Started,Not Started,Not Started,Not Started
54,test517_7 项目,Pending,test517_7,Yizhuo Xiang,2025/05/17 19:47,2025/05/29,Not Started,Not Started,Not Started,Not Started
55,test517_8 项目,Pending,test517_8,Yizhuo Xiang,2025/05/17 19:54,2025/05/30,Not Started,Not Started,Not Started,Not Started
56,test517_9 项目,Pending,test517_9,Yizhuo Xiang,2025/05/17 20:04,2025/06/05,Not Started,Not Started,Not Started,Not Started
57,test517_10 项目,Pending,test517_10,Yizhuo Xiang,2025/05/17 20:11,2025/05/23,Not Started,Not Started,Not Started,Not Started
